,Location,City,Area,Price,Method,Lat,Long,Total
1,Perfekter Bürostandort in Mitte,"Germany, Berlin, BERLIN, Mitte",878.0,0.0,Price,52.5372897,13.3602742,0.0
2,Erstklassige Lage in Mitte: Top-Büro mit Terrasse,"Germany, Berlin, BERLIN, Mitte",231.72,32.0,Rent/m² from,51.7164064,8.7475635,7415.04
3,Sie suchen ein Büro in Mitte?,"Germany, Berlin, BERLIN, Mitte",430.0,29.0,Rent/m² from,52.5372897,13.3602742,12470.0
5,"Modernes Büro im Areal ""Forum Museumsinsel"" zur Untermiete","Germany, Berlin, BERLIN, Mitte",477.0,35.0,Rent/m² from,52.5169328,13.4018996,16695.0
6,Hier in Mitte,"Germany, Berlin, BERLIN, Mitte",543.35,26.5,Rent/m² from,52.5372897,13.3602742,14398.775000000001
7,Neubau-Erstbezug: Hochwertige Büros in Top-Lage am Alexanderplatz,"Germany, Berlin, BERLIN, Mitte",5340.0,0.0,Price,52.52198139999999,13.413306,0.0
9,Stilvolles Büro in Mitte,"Germany, Berlin, BERLIN, Mitte",148.0,28.0,Rent/m² from,52.5372897,13.3602742,4144.0
10,Hochwertiges Büroloft in bester Mitte-Lage,"Germany, Berlin, BERLIN, Mitte",210.0,42.5,Rent/m² from,49.42789,11.02058,8925.0
11,Sie suchen ein Büro in Mitte?,"Germany, Berlin, BERLIN, Mitte",153.09,22.0,Rent/m² from,52.5372897,13.3602742,3367.98
14,"Gefragtes Loftbüro am U-Bahnhof ""Spittelmarkt""","Germany, Berlin, BERLIN, Mitte",866.0,25.0,Rent/m² from,52.51128019999999,13.4050543,21650.0
